%  Author: Matxin Jiménez
%  GitHub: https://github.com/Matx1n3/
%
%  This dataset contains wordbags extracted from 178 news articles from The New York Times related to Google.
%  The class indicates the impact on the stock price of Alphabet, Inc. (whose main subsidiary is Google) the
%  day the news article was published.
%
%  For more info, go to: https://github.com/Matx1n3/NYTimesInfluenceInAlphabetInc

@relation NYTimesInfluenceInAlphabetInc

@attribute google numeric
@attribute acquisition numeric
@attribute ai numeric
@attribute algorithm numeric
@attribute alphabet numeric
@attribute amazon numeric
@attribute analytics numeric
@attribute announcement numeric
@attribute apple numeric
@attribute 'artificial intelligence' numeric
@attribute blockchain numeric
@attribute business numeric
@attribute ceo numeric
@attribute cloud numeric
@attribute competition numeric
@attribute cybersecurity numeric
@attribute data numeric
@attribute 'data analysis' numeric
@attribute 'data privacy' numeric
@attribute development numeric
@attribute digital numeric
@attribute 'digital business' numeric
@attribute 'digital era' numeric
@attribute 'digital future' numeric
@attribute 'digital innovation' numeric
@attribute 'digital marketing' numeric
@attribute 'digital platform' numeric
@attribute 'digital revolution' numeric
@attribute 'digital services' numeric
@attribute 'digital strategy' numeric
@attribute 'digital transformation' numeric
@attribute disruption numeric
@attribute 'disruptive innovation' numeric
@attribute 'disruptive technology' numeric
@attribute earnings numeric
@attribute ecommerce numeric
@attribute economic numeric
@attribute 'emerging technology' numeric
@attribute entrepreneurship numeric
@attribute expansion numeric
@attribute facebook numeric
@attribute 'financial results' numeric
@attribute finance numeric
@attribute future numeric
@attribute global numeric
@attribute 'global market' numeric
@attribute growth numeric
@attribute 'growth strategy' numeric
@attribute hardware numeric
@attribute impact numeric
@attribute industry numeric
@attribute innovative numeric
@attribute innovation numeric
@attribute 'innovation ecosystem' numeric
@attribute innovator numeric
@attribute internet numeric
@attribute 'internet business' numeric
@attribute 'internet of things' numeric
@attribute 'internet platform' numeric
@attribute investors numeric
@attribute investment numeric
@attribute 'investment opportunity' numeric
@attribute ipo numeric
@attribute 'machine learning' numeric
@attribute market numeric
@attribute 'market disruption' numeric
@attribute marketplace numeric
@attribute microsoft numeric
@attribute mobile numeric
@attribute 'mobile apps' numeric
@attribute 'mobile devices' numeric
@attribute 'mobile technology' numeric
@attribute nasdaq numeric
@attribute netflix numeric
@attribute online numeric
@attribute 'online advertising' numeric
@attribute partnership numeric
@attribute performance numeric
@attribute platform numeric
@attribute product numeric
@attribute profits numeric
@attribute revenue numeric
@attribute research numeric
@attribute services numeric
@attribute shareholders numeric
@attribute smartphones numeric
@attribute 'social media' numeric
@attribute software numeric
@attribute 'software development' numeric
@attribute startup numeric
@attribute 'startup ecosystem' numeric
@attribute stock numeric
@attribute strategy numeric
@attribute success numeric
@attribute 'tech advancements' numeric
@attribute 'tech company' numeric
@attribute 'tech culture' numeric
@attribute 'tech development' numeric
@attribute 'tech industry' numeric
@attribute 'tech innovation' numeric
@attribute 'tech market' numeric
@attribute 'tech stocks' numeric
@attribute 'tech trends' numeric
@attribute technology numeric
@attribute 'technology company' numeric
@attribute 'technology innovation' numeric
@attribute 'technology investment' numeric
@attribute 'technology sector' numeric
@attribute tesla numeric
@attribute trends numeric
@attribute 'venture capital' numeric
@attribute 'virtual reality' numeric
@attribute employees numeric
@attribute shocked numeric
@attribute Samsung numeric
@attribute replacing numeric
@attribute interesting numeric
@attribute panic numeric
@attribute contract numeric
@attribute competitors numeric
@attribute upgrading numeric
@attribute engineers numeric
@attribute executives numeric
@attribute designers numeric
@attribute sprint numeric
@attribute personalized numeric
@attribute brainstorm numeric
@attribute medical numeric
@attribute diagnosis numeric
@attribute people numeric
@attribute chatbot numeric
@attribute phones numeric
@attribute robot numeric
@attribute interview numeric
@attribute podcast numeric
@attribute revolution numeric
@attribute state-of-the-art numeric
@attribute secretive numeric
@attribute smarter numeric
@attribute invalidated numeric
@attribute japanese numeric
@attribute viral numeric
@attribute video numeric
@attribute 'boston dynamics' numeric
@attribute hyundai numeric
@attribute humanoid numeric
@attribute court numeric
@attribute 'epic games' numeric
@attribute federal numeric
@attribute courthouse numeric
@attribute legal numeric
@attribute battle numeric
@attribute apps numeric
@attribute judge numeric
@attribute jury numeric
@attribute exploiting numeric
@attribute forced numeric
@attribute settlement numeric
@attribute damages numeric
@attribute fee numeric
@attribute billion numeric
@attribute sony numeric
@attribute playstation numeric
@attribute bot numeric
@attribute active numeric
@attribute inactive numeric
@attribute update numeric
@attribute witness numeric
@attribute ukraine numeric
@attribute russia numeric
@attribute israel numeric
@attribute palestine numeric
@attribute hamas numeric
@attribute monopoly numeric
@attribute war numeric
@attribute abuse numeric
@attribute abusing numeric
@attribute maps numeric
@attribute die numeric
@attribute died numeric
@attribute kill numeric
@attribute killed numeric
@attribute Class numeric

@data
26,0,14,0,0,0,0,0,1,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,4,0,3,0,1,5,4,0,2,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
16,0,37,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,1,6,2,3,0,0,0,1,1,3,0,0,3,0,0,1,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,1
25,0,17,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,2,1,0,3,3,1,2,11,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,1
2,0,14,1,0,0,0,0,0,4,0,1,0,0,1,0,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
36,0,163,2,0,12,0,2,2,1,0,5,2,0,3,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,10,0,0,0,5,5,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,10,0,0,0,0,16,0,0,0,3,1,0,0,7,1,0,1,0,0,0,0,0,0,0,1,0,36,4,2,1,4,9,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,1,2,0,1
20,0,11,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
24,0,23,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
5,0,41,0,0,0,0,0,0,4,0,0,0,0,1,1,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,6,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1
22,0,51,0,0,0,0,2,0,6,0,3,0,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,24,0,0,0,0,0,0,1,0,0,0,1,12,1,0,15,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,5,8,0,0,0,0,0,0,10,14,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,7,0,0,17,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,1,0,0,1
16,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,4,9,0,4,0,2,1,0,0,3,1,2,1,1
